2018-01-16 20:10:13.1726 | INFO | ServiceFines.Controllers.GatewayController | Request from 0 with parametr 'service'= machines
2018-01-16 21:03:19.3594 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametrs 'FIO'= Mamontov 'Phone'= _ 'Adress'= _
2018-01-16 21:03:19.3594 | INFO | ServiceFines.Controllers.GatewayController | Success complete request GET from 0 with parametrs  'FIO'= Mamontov 'Phone'= _ 'Adress'= _
2018-01-16 21:08:23.2316 | INFO | ServiceFines.Controllers.GatewayController | Request POST from 0 with parametrs 'FIO'= Mamontov, 'Adress'= Krasnodar, 'Phone'= 89137651414, 'Mark'= Volkswagen, 'Model'= Golf, 'StateNumber'= e432rv77, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:08:26.5964 | INFO | ServiceFines.Controllers.GatewayController | Success compliete request POST from 0 with parametrs 'FIO'= Mamontov, 'Adress'= Krasnodar, 'Phone'= 89137651414, 'Mark'= Volkswagen, 'Model'= Golf, 'StateNumber'= e432rv77, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:08:43.2137 | INFO | ServiceFines.Controllers.GatewayController | Request DELETE from 0 with parametr 'FIO'= Mamontov
2018-01-16 21:08:43.2429 | INFO | ServiceFines.Controllers.GatewayController | Success compliete DELETE from 0 with parametr 'FIO'= Mamontov
2018-01-16 21:10:25.2979 | INFO | ServiceFines.Controllers.GatewayController | Request POST from 0 with parametrs 'FIO'= Mamontov, 'Adress'= Krasnodar, 'Phone'= 89137651414, 'Mark'= Volkswagen, 'Model'= Golf, 'StateNumber'= e432rv77, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:10:25.3791 | INFO | ServiceFines.Controllers.GatewayController | Success compliete request POST from 0 with parametrs 'FIO'= Mamontov, 'Adress'= Krasnodar, 'Phone'= 89137651414, 'Mark'= Volkswagen, 'Model'= Golf, 'StateNumber'= e432rv77, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:10:44.0281 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametrs 'FIO'= Mamontov 'Phone'= _ 'Adress'= _
2018-01-16 21:10:44.0281 | INFO | ServiceFines.Controllers.GatewayController | Success complete request GET from 0 with parametrs  'FIO'= Mamontov 'Phone'= _ 'Adress'= _
2018-01-16 21:10:52.4528 | INFO | ServiceFines.Controllers.GatewayController | Request DELETE from 0 with parametr 'FIO'= Mamontov
2018-01-16 21:10:52.4808 | INFO | ServiceFines.Controllers.GatewayController | Success compliete DELETE from 0 with parametr 'FIO'= Mamontov
2018-01-16 21:11:17.4284 | INFO | ServiceFines.Controllers.GatewayController | Request POST from 0 with parametrs 'FIO'= Mamontov, 'Adress'= Krasnodar, 'Phone'= 89137651414, 'Mark'= Volkswagen, 'Model'= Golf, 'StateNumber'= e432rv77, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:11:17.4766 | INFO | ServiceFines.Controllers.GatewayController | Success compliete request POST from 0 with parametrs 'FIO'= Mamontov, 'Adress'= Krasnodar, 'Phone'= 89137651414, 'Mark'= Volkswagen, 'Model'= Golf, 'StateNumber'= e432rv77, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:11:31.6211 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametrs 'FIO'= Mamontov 'Phone'= _ 'Adress'= _
2018-01-16 21:11:31.6211 | INFO | ServiceFines.Controllers.GatewayController | Success complete request GET from 0 with parametrs  'FIO'= Mamontov 'Phone'= _ 'Adress'= _
2018-01-16 21:11:48.7039 | INFO | ServiceFines.Controllers.GatewayController | Request DELETE from 0 with parametr 'FIO'= Mamontov
2018-01-16 21:11:48.8272 | INFO | ServiceFines.Controllers.GatewayController | Success compliete DELETE from 0 with parametr 'FIO'= Mamontov
2018-01-16 21:17:58.5405 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametrs 'FIO'= Mamontov 'Phone'= _ 'Adress'= _
2018-01-16 21:18:00.4736 | INFO | ServiceFines.Controllers.GatewayController | Success complete request GET from 0 with parametrs  'FIO'= Mamontov 'Phone'= _ 'Adress'= _
2018-01-16 21:18:06.1972 | INFO | ServiceFines.Controllers.GatewayController | Request POST from 0 with parametrs 'FIO'= Mamontov, 'Adress'= Krasnodar, 'Phone'= 89137651414, 'Mark'= Volkswagen, 'Model'= Golf, 'StateNumber'= e432rv77, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:18:10.0411 | INFO | ServiceFines.Controllers.GatewayController | Success compliete request POST from 0 with parametrs 'FIO'= Mamontov, 'Adress'= Krasnodar, 'Phone'= 89137651414, 'Mark'= Volkswagen, 'Model'= Golf, 'StateNumber'= e432rv77, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:18:21.6741 | INFO | ServiceFines.Controllers.GatewayController | Request DELETE from 0 with parametr 'FIO'= Mamontov
2018-01-16 21:18:21.7112 | INFO | ServiceFines.Controllers.GatewayController | Success compliete DELETE from 0 with parametr 'FIO'= Mamontov
2018-01-16 21:19:45.4943 | INFO | ServiceFines.Controllers.GatewayController | Request POST from 0 with parametrs 'FIO'= Nosov, 'Adress'= Krasnodar, 'Phone'= 891376514123, 'Mark'= REno, 'Model'= Laguna, 'StateNumber'= e432rv71, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:20:03.3402 | INFO | ServiceFines.Controllers.GatewayController | Success compliete request POST from 0 with parametrs 'FIO'= Nosov, 'Adress'= Krasnodar, 'Phone'= 891376514123, 'Mark'= REno, 'Model'= Laguna, 'StateNumber'= e432rv71, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:20:19.0310 | INFO | ServiceFines.Controllers.GatewayController | Request DELETE from 0 with parametr 'FIO'= Nosov
2018-01-16 21:20:19.0661 | INFO | ServiceFines.Controllers.GatewayController | Success compliete DELETE from 0 with parametr 'FIO'= Nosov
2018-01-16 21:28:29.4712 | INFO | ServiceFines.Controllers.GatewayController | Request POST from 0 with parametrs 'FIO'= Mamontov, 'Adress'= Krasnodar, 'Phone'= 89137651414, 'Mark'= Volkswagen, 'Model'= Golf, 'StateNumber'= e432rv77, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:28:43.3568 | INFO | ServiceFines.Controllers.GatewayController | Success compliete request POST from 0 with parametrs 'FIO'= Mamontov, 'Adress'= Krasnodar, 'Phone'= 89137651414, 'Mark'= Volkswagen, 'Model'= Golf, 'StateNumber'= e432rv77, 'NameFine'= Проезд на красный свет, 'AmountFine'= 1500
2018-01-16 21:28:54.9379 | INFO | ServiceFines.Controllers.GatewayController | Request DELETE from 0 with parametr 'FIO'= Mamontov
2018-01-16 21:28:55.0962 | INFO | ServiceFines.Controllers.GatewayController | Success compliete DELETE from 0 with parametr 'FIO'= Mamontov
